,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
192,Guyana,GUY,2019,,Males,22.70000076,-59,5
193,Guyana,GUY,2019,,Females,2.5,-59,5
194,Haiti,HTI,2019,,Males,12.5,-72.4167,19
195,Haiti,HTI,2019,,Females,3.200000048,-72.4167,19
196,High income,,2019,,Males,28.05708122,0,0
197,High income,,2019,,Females,17.67631531,0,0
198,High-income countries,,2019,,Males,,0,0
199,High-income countries,,2019,,Females,,0,0
200,Honduras,HND,2019,,Males,,-86.5,15
201,Honduras,HND,2019,,Females,,-86.5,15
202,Hong Kong,HKG,2019,,Males,,114.1667,22.25
203,Hong Kong,HKG,2019,,Females,,114.1667,22.25
204,Hungary,HUN,2019,,Males,36.40000153,20,47
205,Hungary,HUN,2019,,Females,28,20,47
206,Iceland,ISL,2019,,Males,12.60000038,-18,65
207,Iceland,ISL,2019,,Females,12.5,-18,65
208,India,IND,2019,,Males,42.40000153,77,20
209,India,IND,2019,,Females,13.69999981,77,20
210,Indonesia,IDN,2019,,Males,70.59999847,120,-5
211,Indonesia,IDN,2019,,Females,3.799999952,120,-5
212,Iran,IRN,2019,,Males,24.70000076,53,32
213,Iran,IRN,2019,,Females,3.299999952,53,32
214,Iraq,IRQ,2019,,Males,35.5,44,33
215,Iraq,IRQ,2019,,Females,2,44,33
216,Ireland,IRL,2019,,Males,23.10000038,-8,53
217,Ireland,IRL,2019,,Females,19.70000076,-8,53
218,Isle of Man,IMN,2019,,Males,,-4.55,54.23
219,Isle of Man,IMN,2019,,Females,,-4.55,54.23
220,Israel,ISR,2019,,Males,29.29999924,34.75,31.5
221,Israel,ISR,2019,,Females,13.89999962,34.75,31.5
222,Italy,ITA,2019,,Males,26.89999962,12.8333,42.8333
223,Italy,ITA,2019,,Females,19.60000038,12.8333,42.8333
224,Jamaica,JAM,2019,,Males,15.5,-77.5,18.25
225,Jamaica,JAM,2019,,Females,3.900000095,-77.5,18.25
226,Japan,JPN,2019,,Males,30.79999924,138,36
227,Japan,JPN,2019,,Females,10.19999981,138,36
228,Jersey,JEY,2019,,Males,,-2.13,49.21
229,Jersey,JEY,2019,,Females,,-2.13,49.21
230,Jordan,JOR,2019,,Males,56.5,36,31
231,Jordan,JOR,2019,,Females,12.69999981,36,31
232,Kazakhstan,KAZ,2019,,Males,40.09999847,68,48
233,Kazakhstan,KAZ,2019,,Females,6.900000095,68,48
234,Kenya,KEN,2019,,Males,20.10000038,38,1
235,Kenya,KEN,2019,,Females,2.900000095,38,1
236,Kiribati,KIR,2019,,Males,55.20000076,173,1.4167
237,Kiribati,KIR,2019,,Females,28.20000076,173,1.4167
238,Kosovo,OWID_KOS,2019,,Males,,0,0
239,Kosovo,OWID_KOS,2019,,Females,,0,0
240,Kuwait,KWT,2019,,Males,33.5,47.6581,29.3375
241,Kuwait,KWT,2019,,Females,2.299999952,47.6581,29.3375
242,Kyrgyzstan,KGZ,2019,,Males,51.79999924,75,41
243,Kyrgyzstan,KGZ,2019,,Females,3.299999952,75,41
244,Laos,LAO,2019,,Males,54.09999847,105,18
245,Laos,LAO,2019,,Females,10.89999962,105,18
246,Latin America and Caribbean,,2019,,Males,18.79660988,0,0
247,Latin America and Caribbean,,2019,,Females,8.821369171,0,0
248,Latvia,LVA,2019,,Males,50.59999847,25,57
249,Latvia,LVA,2019,,Females,23.79999924,25,57
250,Lebanon,LBN,2019,,Males,47.59999847,35.8333,33.8333
251,Lebanon,LBN,2019,,Females,29.20000076,35.8333,33.8333
252,Lesotho,LSO,2019,,Males,43.09999847,28.5,-29.5
253,Lesotho,LSO,2019,,Females,5.699999809,28.5,-29.5
254,Liberia,LBR,2019,,Males,14.69999981,-9.5,6.5
255,Liberia,LBR,2019,,Females,2.099999905,-9.5,6.5
256,Libya,LBY,2019,,Males,,17,25
257,Libya,LBY,2019,,Females,,17,25
258,Liechtenstein,LIE,2019,,Males,,9.5333,47.1667
259,Liechtenstein,LIE,2019,,Females,,9.5333,47.1667
260,Lithuania,LTU,2019,,Males,42.79999924,24,56
261,Lithuania,LTU,2019,,Females,21.79999924,24,56
262,Low and middle income,,2019,,Males,40.03739548,0,0
263,Low and middle income,,2019,,Females,7.089961529,0,0
264,Low income,,2019,,Males,21.51913071,0,0
265,Low income,,2019,,Females,4.062176704,0,0
266,Lower middle income,,2019,,Males,41.22346878,0,0
267,Lower middle income,,2019,,Females,9.24534893,0,0
268,Lower-middle-income countries,,2019,,Males,,0,0
269,Lower-middle-income countries,,2019,,Females,,0,0
270,Low-income countries,,2019,,Males,,0,0
271,Low-income countries,,2019,,Females,,0,0
272,Luxembourg,LUX,2019,,Males,23,6.1667,49.75
273,Luxembourg,LUX,2019,,Females,20.10000038,6.1667,49.75
274,Macao,MAC,2019,,Males,,113.55,22.1667
275,Macao,MAC,2019,,Females,,113.55,22.1667
276,Madagascar,MDG,2019,,Males,43.29999924,47,-20
277,Madagascar,MDG,2019,,Females,13.5,47,-20
278,Malawi,MWI,2019,,Males,18.20000076,34,-13.5
279,Malawi,MWI,2019,,Females,4.300000191,34,-13.5
280,Malaysia,MYS,2019,,Males,44.29999924,112.5,2.5
281,Malaysia,MYS,2019,,Females,1.200000048,112.5,2.5
282,Maldives,MDV,2019,,Males,45.29999924,73,3.25
283,Maldives,MDV,2019,,Females,6.400000095,73,3.25
284,Mali,MLI,2019,,Males,16.10000038,-4,17
285,Mali,MLI,2019,,Females,1.100000024,-4,17
286,Malta,MLT,2019,,Males,27.10000038,14.5833,35.8333
287,Malta,MLT,2019,,Females,21.79999924,14.5833,35.8333
288,Marshall Islands,MHL,2019,,Males,48.5,168,9
289,Marshall Islands,MHL,2019,,Females,8.300000191,168,9
290,Martinique,MTQ,2019,,Males,,-61,14.6667
291,Martinique,MTQ,2019,,Females,,-61,14.6667
292,Mauritania,MRT,2019,,Males,19.89999962,-12,20
293,Mauritania,MRT,2019,,Females,2.200000048,-12,20
294,Mauritius,MUS,2019,,Males,37.90000153,57.55,-20.2833
295,Mauritius,MUS,2019,,Females,3.099999905,57.55,-20.2833
296,Mayotte,MYT,2019,,Males,,45.1667,-12.8333
297,Mayotte,MYT,2019,,Females,,45.1667,-12.8333
298,Mexico,MEX,2019,,Males,20.39999962,-102,23
299,Mexico,MEX,2019,,Females,6.400000095,-102,23
300,Micronesia (country),FSM,2019,,Males,,158.25,6.9167
301,Micronesia (country),FSM,2019,,Females,,158.25,6.9167
302,Middle East and North Africa,,2019,,Males,35.22078705,0,0
303,Middle East and North Africa,,2019,,Females,3.12636137,0,0
304,Middle income,,2019,,Males,41.37797928,0,0
305,Middle income,,2019,,Females,7.316933155,0,0
306,Moldova,MDA,2019,,Males,51.20000076,29,47
307,Moldova,MDA,2019,,Females,6.199999809,29,47
308,Monaco,MCO,2019,,Males,,7.4,43.7333
309,Monaco,MCO,2019,,Females,,7.4,43.7333
310,Mongolia,MNG,2019,,Males,52,105,46
311,Mongolia,MNG,2019,,Females,7.199999809,105,46
312,Montenegro,MNE,2019,,Males,32.29999924,19,42
313,Montenegro,MNE,2019,,Females,31.29999924,19,42
314,Montserrat,MSR,2019,,Males,,-62.2,16.75
315,Montserrat,MSR,2019,,Females,,-62.2,16.75
316,Morocco,MAR,2019,,Males,28.79999924,-5,32
317,Morocco,MAR,2019,,Females,0.899999976,-5,32
318,Mozambique,MOZ,2019,,Males,23.70000076,35,-18.25
319,Mozambique,MOZ,2019,,Females,5.900000095,35,-18.25
320,Myanmar,MMR,2019,,Males,69.40000153,98,22
321,Myanmar,MMR,2019,,Females,20.79999924,98,22
322,Namibia,NAM,2019,,Males,24.60000038,17,-22
