Country,Code,Year,Males,Females,Population (historical estimates),Continent,Longitude,Latitude
Seychelles,SYC,2020,34,6.400000095,105545,,55.6667,-4.5833
Sierra Leone,SLE,2020,20.5,6.400000095,8233973,,-11.5,8.5
Singapore,SGP,2020,28,5,5909874,,103.8,1.3667
Sint Maarten (Dutch part),SXM,2020,,,43638,,0,0
Slovakia,SVK,2020,37.40000153,25.60000038,5456681,,19.5,48.6667
Slovenia,SVN,2020,24.39999962,19.60000038,2117648,,15,46
Solomon Islands,SLB,2020,53.79999924,19.20000076,691198,,159,-8
Somalia,SOM,2020,,,16537018,,49,10
South Africa,ZAF,2020,34,6.5,58801928,,24,-29
South America,,2020,,,431530105,,0,0
South Asia,,2020,41.42945862,12.51945877,,,0,0
South Korea,KOR,2020,35.70000076,5.900000095,51844688,,127.5,37
South Sudan,SSD,2020,,,10606224,,30,8
Spain,ESP,2020,28.60000038,26.70000076,47363808,,-4,40
Sri Lanka,LKA,2020,41.40000153,2.599999905,21715076,,81,7
Sub-Saharan Africa,,2020,16.24212265,2.82208848,,,0,0
Sudan,SDN,2020,,,44440484,,30,15
Suriname,SUR,2020,,,607068,,-56,4
Sweden,SWE,2020,29.79999924,18.20000076,10368968,,15,62
Switzerland,CHE,2020,28.10000038,22.89999962,8638609,,8,47
Syria,SYR,2020,,,20772602,,38,35
Taiwan,TWN,2020,,,23821468,,121,23.5
Tajikistan,TJK,2020,,,9543211,,71,39
Tanzania,TZA,2020,14,3.400000095,61704520,,35,-6
Thailand,THA,2020,41.29999924,2.900000095,71475664,,100,15
Timor,TLS,2020,67.59999847,10.80000019,1299998,,125.5167,-8.55
Togo,TGO,2020,12.30000019,1.200000048,8442583,,1.1667,8
Tokelau,TKL,2020,,,1845,,-172,-9
Tonga,TON,2020,46.70000076,15.30000019,105265,,-175,-20
Trinidad and Tobago,TTO,2020,,,1518142,,-61,11
Tunisia,TUN,2020,47.20000076,2,12161720,,9,34
Turkey,TUR,2020,42.09999847,19.20000076,84135432,,35,39
Turkmenistan,TKM,2020,10.60000038,0.400000006,6250442,,60,40
Turks and Caicos Islands,TCA,2020,,,44297,,-71.5833,21.75
Tuvalu,TUV,2020,49.79999924,21.29999924,11090,,178,-8
Uganda,UGA,2020,13,3.700000048,44404608,,32,1
Ukraine,UKR,2020,40,11.5,43909664,,32,49
United Arab Emirates,ARE,2020,,,9287286,,54,24
United Kingdom,GBR,2020,17.29999924,13.5,67059472,,-2,54
United States,USA,2020,28.39999962,17.5,335942016,,-97,38
United States Virgin Islands,VIR,2020,,,100452,,-64.8333,18.3333
Upper middle income,,2020,41.11038208,5.111617088,,,0,0
Upper-middle-income countries,,2020,,,2541463877,,0,0
Uruguay,URY,2020,24.39999962,18.5,3429087,,-56,-33
Uzbekistan,UZB,2020,34,1.100000024,33526662,,64,41
Vanuatu,VUT,2020,33,2.599999905,311694,,167,-16
Vatican,VAT,2020,,,809,,12.45,41.9
Venezuela,VEN,2020,,,28490458,,-66,8
Vietnam,VNM,2020,47.40000153,2.200000048,96648680,,106,16
Wallis and Futuna,WLF,2020,,,11679,,-176.2,-13.3
Western Sahara,ESH,2020,,,556060,,-13,24.5
World,OWID_WRL,2020,37.37134933,8.691197395,7840954602,,0,0
Yemen,YEM,2020,32.5,8.100000381,32284044,,48,15
Zambia,ZMB,2020,25.10000038,3.700000048,18927716,,30,-15
Zimbabwe,ZWE,2020,21.79999924,1.5,15669663,,30,-20
